animal_id,group,project,experiment,cluster,time_bin,percentage,seconds,time_min
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_150s,0.0,150.0,2.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_180s,0.0,180.0,3.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_210s,3.1999999999999997,210.0,3.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_240s,2.1333333333333333,240.0,4.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_270s,0.0,270.0,4.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_300s,0.6666666666666667,300.0,5.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_330s,0.0,330.0,5.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_360s,0.0,360.0,6.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_390s,2.933333333333333,390.0,6.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_420s,0.6666666666666667,420.0,7.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_450s,0.0,450.0,7.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_030s,2.2666666666666666,30.0,0.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_060s,4.133333333333333,60.0,1.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_090s,0.0,90.0,1.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_120s,1.0666666666666669,120.0,2.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_150s,0.0,150.0,2.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_180s,7.066666666666666,180.0,3.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_210s,1.2,210.0,3.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_240s,26.266666666666666,240.0,4.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_270s,45.46666666666667,270.0,4.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_300s,31.333333333333336,300.0,5.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_330s,44.13333333333333,330.0,5.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_360s,14.533333333333337,360.0,6.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_390s,0.0,390.0,6.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_420s,3.2,420.0,7.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_450s,21.333333333333336,450.0,7.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_030s,2.533333333333333,30.0,0.5
