cluster,analysis,parameter,coef,std_err,z,p_value,ci_low,ci_high,aic,bic,log_likelihood,n_observations,n_animals
Turn,Exp1,group[T.ELS],0.39591111111115607,2.618035826618227,0.1512244817606499,0.8797986387238805,-4.7353448192961185,5.52716704151843,6301.782253281816,6329.502692520999,-3144.891126640908,750,50
Turn,Exp1,time_bin_numeric,-0.022074920634920427,0.006175374482561082,-3.574669147151932,0.0003506710497822372,-0.03417843221178782,-0.009971409058053033,6301.782253281816,6329.502692520999,-3144.891126640908,750,50
Turn,Exp1,group[T.ELS]:time_bin_numeric,0.021086984126983815,0.008733298345970617,2.4145498403490318,0.015754667372832366,0.003970033902638181,0.03820393435132945,6301.782253281816,6329.502692520999,-3144.891126640908,750,50
Turn,Exp1,Group Var,0.11494375956381235,0.04460665303676082,2.5768299511081,0.009971099053748912,0.027516326140886907,0.20237119298673778,6301.782253281816,6329.502692520999,-3144.891126640908,750,50
Turn,Exp3,Intercept,56.01229166666676,2.4632850708179084,22.738858904409494,1.849762106888844e-114,51.184341644208466,60.84024168912506,4095.005266547663,4120.0479831710745,-2041.5026332738314,480,32
Turn,Exp3,group[T.ELS],-2.8643750000000665,3.4836111551418556,-0.8222430324269147,0.41093859187200554,-9.692127400220079,3.9633774002199456,4095.005266547663,4120.0479831710745,-2041.5026332738314,480,32
Turn,Exp3,time_bin_numeric,-0.06220138888888916,0.008192926521251538,-7.592084309256978,3.14800071636796e-14,-0.0782592297985252,-0.046143547979253116,4095.005266547663,4120.0479831710745,-2041.5026332738314,480,32
Turn,Exp3,group[T.ELS]:time_bin_numeric,0.032536706349206544,0.011586547801880146,2.808145006222373,0.004982778479449413,0.009827489952369727,0.05524592274604336,4095.005266547663,4120.0479831710745,-2041.5026332738314,480,32
Turn,Exp3,Group Var,0.11704928439984869,0.04754154299566053,2.4620421850955205,0.013814841685486334,0.023869572358891575,0.21022899644080578,4095.005266547663,4120.0479831710745,-2041.5026332738314,480,32
Turn,Combined,Intercept,50.39504065040706,1.461255937727545,34.4874839165946,1.2356830502606834e-260,47.531031640265766,53.25904966054836,10412.105649895539,10447.909036034103,-5199.052824947769,1230,82
Turn,Combined,group[T.ELS],-0.8763956639573169,2.066527965232501,-0.4240908803083705,0.671499536169941,-4.92671604885786,3.1739247209432255,10412.105649895539,10447.909036034103,-5199.052824947769,1230,82
Turn,Combined,time_bin_numeric,-0.037734030197446616,0.005005114850309736,-7.539093772266082,4.732485890195284e-14,-0.04754387504254028,-0.02792418535235295,10412.105649895539,10447.909036034103,-5199.052824947769,1230,82
Turn,Combined,group[T.ELS]:time_bin_numeric,0.025555168408829054,0.00707830130254299,3.610353291918777,0.00030578021995551606,0.01168195278412184,0.03942838403353627,10412.105649895539,10447.909036034103,-5199.052824947769,1230,82
Turn,Combined,Group Var,0.04828626805817096,1048576.0000000002,4.604937368218512e-08,0.9999999632579157,-2055171.1467668042,2055171.2433393402,10412.105649895539,10447.909036034103,-5199.052824947769,1230,82
Turn,Combined,experiment Var,0.04828626805817094,1048576.0,4.6049373682185116e-08,0.9999999632579157,-2055171.1467668037,2055171.2433393397,10412.105649895539,10447.909036034103,-5199.052824947769,1230,82
Locomotion,Exp1,Intercept,13.171022222222215,0.8093181050074373,16.27422164502446,1.504199664198823e-59,11.584787884371432,14.757256560072998,4681.643175288543,4709.363614527725,-2334.8215876442714,750,50
Locomotion,Exp1,group[T.ELS],-2.072844444444407,1.1445486403756115,-1.8110584131786243,0.07013181006316105,-4.316118558134892,0.17042966924607805,4681.643175288543,4709.363614527725,-2334.8215876442714,750,50
Locomotion,Exp1,time_bin_numeric,-0.030996825396825366,0.002033968915771115,-15.239576748926815,1.9311729288669315e-52,-0.034983331217410735,-0.027010319576239998,4681.643175288543,4709.363614527725,-2334.8215876442714,750,50
Locomotion,Exp1,group[T.ELS]:time_bin_numeric,0.006103492063492024,0.0028764664261288118,2.1218714767709588,0.033848532283382596,0.0004657214655409093,0.011741262661443139,4681.643175288543,4709.363614527725,-2334.8215876442714,750,50
Locomotion,Exp1,Group Var,0.3866077102624928,0.09383501047171137,4.120079577110978,3.787415673332428e-05,0.20269446924899967,0.5705209512759859,4681.643175288543,4709.363614527725,-2334.8215876442714,750,50
Locomotion,Exp3,Intercept,6.361458333333332,0.8104811436046677,7.848989928427368,4.194012952530175e-15,4.772944481719348,7.949972184947317,2812.504586260134,2837.547302883546,-1400.252293130067,480,32
Locomotion,Exp3,group[T.ELS],-1.5244444444444456,1.1461934253333768,-1.3300062718480978,0.18351620486423925,-3.7709422774144636,0.7220533885255724,2812.504586260134,2837.547302883546,-1400.252293130067,480,32
Locomotion,Exp3,time_bin_numeric,-0.015467261904761949,0.00209570409336569,-7.38046079774631,1.5774261980750724e-13,-0.01957476645001187,-0.01135975735951203,2812.504586260134,2837.547302883546,-1400.252293130067,480,32
Locomotion,Exp3,group[T.ELS]:time_bin_numeric,0.004484126984127019,0.0029637731515585685,1.5129791501650312,0.13028495503667484,-0.0013247616512745463,0.010293015619528584,2812.504586260134,2837.547302883546,-1400.252293130067,480,32
Locomotion,Exp3,Group Var,0.3518396782647536,0.10829908775117457,3.248777857419558,0.0011590195182734461,0.13957736671390852,0.5641019898155987,2812.504586260134,2837.547302883546,-1400.252293130067,480,32
Locomotion,Combined,Intercept,10.51363143631439,0.6453309728307948,16.291843842850938,1.1277719026948088e-59,9.248805971457836,11.778456901170943,7572.0723133554475,7607.875699494013,-3779.0361566777237,1230,82
Locomotion,Combined,group[T.ELS],-1.8588346883469045,0.912635813996734,-2.0367759623704145,0.04167249819726735,-3.647568014781899,-0.07010136191191019,7572.0723133554475,7607.875699494013,-3779.0361566777237,1230,82
Locomotion,Combined,time_bin_numeric,-0.02493650793650796,0.0015156206444567875,-16.453000972050916,7.981372085443991e-61,-0.027907069813868653,-0.02196594605914727,7572.0723133554475,7607.875699494013,-3779.0361566777237,1230,82
Locomotion,Combined,group[T.ELS]:time_bin_numeric,0.005471544715447166,0.0021434112708034396,2.552727416328367,0.010688310788313102,0.0012705358206151953,0.009672553610279137,7572.0723133554475,7607.875699494013,-3779.0361566777237,1230,82
