Animal,group,Experiment,cluster,bout_duration
34.5,Control,1,Turn,1.1344221105527639
40.4,Control,1,Climbing,1.1578947368421053
40.4,Control,1,Freezing,0.875
40.4,Control,1,Grooming,0.2727272727272727
40.4,Control,1,Jump,0.35294117647058826
40.4,Control,1,Locomotion,0.5177165354330708
40.4,Control,1,Sniffing,0.3333333333333333
40.4,Control,1,Turn,0.9392265193370166
40.6,Control,1,Climbing,1.0357142857142858
40.6,Control,1,Freezing,1.1423076923076922
40.6,Control,1,Grooming,0.25
40.6,Control,1,Jump,0.3472222222222222
40.6,Control,1,Locomotion,0.4567669172932331
40.6,Control,1,Sniffing,0.9791666666666666
40.6,Control,1,Turn,1.12565445026178
41.4,Control,1,Climbing,0.75
41.4,Control,1,Freezing,1.7977941176470589
41.4,Control,1,Grooming,0.25
41.4,Control,1,Jump,0.2647058823529412
41.4,Control,1,Locomotion,0.4485294117647059
41.4,Control,1,Sniffing,0.9
41.4,Control,1,Turn,1.1496913580246915
41.5,Control,1,Climbing,0.8636363636363636
41.5,Control,1,Freezing,0.9907407407407407
41.5,Control,1,Grooming,0.25
41.5,Control,1,Jump,0.3611111111111111
41.5,Control,1,Locomotion,0.4639423076923077
41.5,Control,1,Sniffing,1.1785714285714286
41.5,Control,1,Turn,1.0186046511627906
41.6,Control,1,Climbing,0.8448275862068966
41.6,Control,1,Freezing,1.3173076923076923
41.6,Control,1,Grooming,0.25
41.6,Control,1,Jump,0.5666666666666667
41.6,Control,1,Locomotion,0.4876543209876543
41.6,Control,1,Sniffing,0.9
41.6,Control,1,Turn,1.3079268292682926
43.3,ELS,1,Climbing,1.2357142857142858
43.3,ELS,1,Freezing,0.8835227272727273
43.3,ELS,1,Grooming,0.25
43.3,ELS,1,Jump,0.4
43.3,ELS,1,Locomotion,0.5203252032520326
43.3,ELS,1,Sniffing,0.5882352941176471
43.3,ELS,1,Turn,1.0759162303664922
43.5,ELS,1,Climbing,1.1120689655172413
