section,parameter,coef,se,z,p_value,ci_low,ci_high
Climb - Sanguino-Gomez et al.,Control - ELS vulnerable,0.6911250000000022,1.1222685779051444,0.6158285223400569,0.5380077005847265,-1.508480993675065,2.8907309936750694
Climb - Sanguino-Gomez et al.,ELS resilient - ELS vulnerable,0.8844814814814791,1.4376543636272912,0.6152254003875295,0.5384058754772179,-1.9332692934448623,3.7022322564078207
Climb - Sanguino-Gomez et al.,Time (per minute),-0.555619047619049,0.16462341918816387,-3.3750911647873063,0.0007379124205308717,-0.8782750202396902,-0.23296307499840774
Climb - Sanguino-Gomez et al.,Control - ELS vulnerable x time (per minute),-0.19479761904761728,0.20985450670870298,-0.9282508253111476,0.35327747565614664,-0.6061048941900943,0.2165096560948597
Climb - Sanguino-Gomez et al.,ELS resilient - ELS vulnerable x time (per minute),-0.16009523809523593,0.26882891781553503,-0.5955283359995148,0.5514903638992374,-0.6869902350165628,0.36679975882609084
Climb - Sanguino-Gomez et al.,ELS resilient - Control,0.19335648148147688,1.332741264562399,0.14508178490666365,0.8846462996579084,-2.418768397771193,2.805481360734147
Climb - Sanguino-Gomez et al.,ELS resilient - Control x time (per minute),0.03470238095238136,0.24921107669889175,0.13924895077721752,0.8892534281367439,-0.4537423539258955,0.5231471158306582
Turn - Combined full dataset,Intercept,47.803900338747994,1.7509155616838818,27.302230550041067,3.990681107931416e-164,44.37216889787687,51.23563177961912
Turn - Combined full dataset,Control - ELS vulnerable,2.2786763047778806,2.2001399087659346,1.0356960917344558,0.30034394625222083,-2.0335186773525913,6.590871286908353
Turn - Combined full dataset,ELS resilient - ELS vulnerable,4.7911255228063965,3.1186637130060237,1.5362751369522676,0.1244709147136775,-1.3213430345773691,10.903594080190162
Turn - Combined full dataset,Sanguino-Gomez et al. - Sanguino-Gomez & Krugers,0.8006890176319406,1.3993918097660591,0.5721692895757295,0.5672072908342277,-1.942068529769862,3.5434465650337432
Turn - Combined full dataset,Time (per minute),0.21858784893260622,0.35329850653809175,0.6187058390778639,0.5361101626553126,-0.4738644996738423,0.9110401975390549
Turn - Combined full dataset,Control - ELS vulnerable x time (per minute),-2.48262966077932,0.46163517510183066,-5.377904013123966,7.535797156315715e-08,-3.38741797797575,-1.5778413435828904
Turn - Combined full dataset,ELS resilient - ELS vulnerable x time (per minute),-3.2435084838532418,0.6530449974034378,-4.9667457782384155,6.808574775320232e-07,-4.5234531590480325,-1.9635638086584506
Turn - Combined full dataset,ELS resilient - Control,2.512449218028516,2.978820839616498,0.8434375054096828,0.3989838035395237,-3.325932344017185,8.350830780074217
Turn - Combined full dataset,ELS resilient - Control x time (per minute),-0.7608788230739215,0.6244478633808126,-1.2184825470527842,0.22304065312508248,-1.9847741455233021,0.4630164993754592
Turn - Sanguino-Gomez & Krugers,Intercept,46.375146198830286,1.9679787718413224,23.564860994633484,8.840016935486862e-123,42.517978683681925,50.23231371397865
