animal_id,animal,group,project,experiment,selected_syllables,freezing_frames,syllable_0_28_frames,overlap_frames,percent_freezing_covered_by_syllable_0_28,precision_syllable_0_28_vs_freezing
157.4,Animal_157_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,2533,2166,1946,76.825898144492697,89.843028624192058
158.5,Animal_158_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,2892,3321,2758,95.366528354080231,83.047274917193619
161.1,Animal_161_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,3808,4039,3485,91.517857142857139,86.283733597425112
161.3,Animal_161_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,3033,3190,2827,93.208044840092313,88.620689655172413
123.1,Animal_123_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,2814,2835,2269,80.632551528073918,80.03527336860671
123.3,Animal_123_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,3204,3323,3038,94.818976279650428,91.423412578994885
128.4,Animal_128_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,2829,2969,2555,90.314598798161896,86.055911081172113
133.3,Animal_133_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,3646,3837,3254,89.248491497531546,84.805837894188159
134.2,Animal_134_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,3201,3243,2858,89.284598562949085,88.128276287388218
134.4,Animal_134_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,2453,2722,2229,90.868324500611493,81.888317413666428
144.3,Animal_144_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,1363,1507,1117,81.951577402787962,74.120769741207695
144.5,Animal_144_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,1841,2049,1543,83.813145029875074,75.305026842362139
148.4,Animal_148_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,2642,2774,2406,91.067373202119612,86.733958183129062
150.3,Animal_150_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,3493,3803,3215,92.041225307758381,84.538522219300546
150.5,Animal_150_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,1338,1421,1142,85.351270553064268,80.36593947923997
153.4,Animal_153_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,2824,3145,2589,91.678470254957517,82.321144674085858
154.4,Animal_154_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0 + 28,2730,2861,2475,90.659340659340657,86.508213911219855
