animal_id,group,experiment,Unmapped_or_excluded,Climbing,Freezing,Grooming,Jump,Locomotion,Sniffing,Turn
32.2,ELS,1,0.26516220028208742,3.5731076633756458E-2,0.1076633756464504,1.2693935119887159E-2,1.6455101081335209E-2,2.6798307475317348E-2,4.372355430183357E-2,0.49177244945933241
32.4,ELS,1,0.34959734722880148,1.515869256276646E-2,0.1027948839412601,6.631927996210327E-3,8.5267645665561345E-3,2.415916627190905E-2,1.2316437707247749E-2,0.48081477972524872
34.4,Control,1,0.23258003766478341,5.9322033898305093E-2,7.3917137476459505E-2,1.412429378531073E-3,8.4745762711864406E-3,0.10922787193973631,1.789077212806026E-2,0.49717514124293788
34.5,Control,1,0.22040072859744991,5.1912568306010931E-2,0.1343351548269581,4.5537340619307832E-4,1.7304189435336979E-2,0.16120218579234971,3.187613843351548E-3,0.41120218579234968
40.4,Control,1,0.42021505376344093,3.7849462365591398E-2,0.1174193548387097,5.1612903225806452E-3,1.032258064516129E-2,0.1131182795698925,3.440860215053763E-3,0.2924731182795699
40.6,Control,1,0.29747974797479748,3.9153915391539153E-2,0.1336633663366337,9.0009000900090005E-4,1.1251125112511249E-2,0.1093609360936094,2.115211521152115E-2,0.38703870387038702
41.4,Control,1,0.31843065693430661,8.2116788321167887E-3,0.22308394160583939,2.2810218978102188E-3,8.2116788321167887E-3,8.3485401459854017E-2,1.6423357664233581E-2,0.33987226277372262
41.5,Control,1,0.26486988847583642,1.765799256505576E-2,0.1988847583643123,4.6468401486988851E-4,6.0408921933085514E-3,8.9684014869888473E-2,1.5334572490706321E-2,0.40706319702602228
41.6,Control,1,0.25972808251289259,4.5944678856071258E-2,0.19268635724331931,9.3764650726676048E-4,1.593999062353493E-2,7.407407407407407E-2,8.4388185654008432E-3,0.40225035161744022
43.3,ELS,1,0.26711409395973162,7.7404921700223714E-2,0.13914988814317669,1.7897091722595081E-3,1.431767337807606E-2,0.1145413870246085,1.7897091722595081E-2,0.36778523489932891
43.5,ELS,1,0.25377358490566038,6.0849056603773592E-2,0.1617924528301887,,1.132075471698113E-2,9.2924528301886786E-2,1.179245283018868E-2,0.40754716981132078
47.5,Control,1,0.32894139027714681,2.998636983189459E-2,0.1553839164016356,1.817355747387551E-3,1.2721490231712859E-2,7.996365288505225E-2,2.4988641526578832E-2,0.36619718309859162
49.5,ELS,1,0.33954354913833262,1.723334885887285E-2,6.7070330693991612E-2,2.328830926874709E-3,1.1644154634373551E-2,0.1020027945971123,3.1672100605496037E-2,0.42850489054494639
49.6,ELS,1,0.16485592820028341,1.5115729806329709E-2,0.35899858290033071,9.4473311289560704E-4,1.228153046764289E-2,4.1095890410958902E-2,3.0703826169107232E-2,0.37600377893245163
5.4,Control,1,0.2257142857142857,0.03,0.25095238095238093,6.6666666666666671E-3,0.01,1.4761904761904761E-2,1.9047619047619049E-2,0.44285714285714278
50.5,Control,1,0.2170172084130019,3.2982791586998093E-2,0.28919694072657742,,6.2141491395793502E-3,6.0707456978967497E-2,3.8718929254302113E-2,0.35516252390057362
53.5,Control,1,0.25511596180081858,3.7744429286039112E-2,0.24329240563892679,1.8190086402910411E-3,9.5497953615279671E-3,9.2769440654843105E-2,2.000909504320145E-2,0.339699863574352
54.3,Control,1,0.28904109589041088,4.4748858447488583E-2,0.1607305936073059,5.0228310502283104E-3,7.3059360730593596E-3,8.6301369863013705E-2,2.6940639269406388E-2,0.37990867579908683
54.4,Control,1,0.16329551060680811,1.628021706956093E-2,0.31376418352244689,,2.9600394671928962E-3,2.7133695115934879E-2,1.036013813517514E-2,0.4662062160828811
54.6,Control,1,0.14811275680840899,3.487816531294792E-2,0.2369804108934544,,3.822264691829909E-3,6.8322981366459631E-2,1.2422360248447201E-2,0.49546106067845203
