animal_id,group,experiment,cluster,frequency_seconds
49.5,ELS,1,Freeze,31.24
49.5,ELS,1,Groom,0.31999999999999995
49.5,ELS,1,Jump,3.6
49.5,ELS,1,Locomotion,39.04
49.5,ELS,1,Sniff,14.68
49.5,ELS,1,Turn,204.72
49.6,ELS,1,Climb,6.6
49.6,ELS,1,Freeze,170.8
49.6,ELS,1,Groom,0.15999999999999998
49.6,ELS,1,Jump,3.7600000000000007
49.6,ELS,1,Locomotion,14.879999999999997
49.6,ELS,1,Sniff,14.32
49.6,ELS,1,Turn,169.4
5.4,Control,1,Climb,13.52
5.4,Control,1,Freeze,117.88000000000001
5.4,Control,1,Groom,1.08
5.4,Control,1,Jump,3.2
5.4,Control,1,Locomotion,5.080000000000001
5.4,Control,1,Sniff,8.719999999999999
5.4,Control,1,Turn,207.44000000000003
50.5,Control,1,Climb,15.319999999999999
50.5,Control,1,Freeze,139.88
50.5,Control,1,Jump,2.0
50.5,Control,1,Locomotion,23.4
50.5,Control,1,Sniff,17.159999999999997
50.5,Control,1,Turn,159.07999999999998
53.5,Control,1,Climb,18.08
53.5,Control,1,Freeze,119.6
53.5,Control,1,Groom,0.24
53.5,Control,1,Jump,3.6399999999999997
53.5,Control,1,Locomotion,36.320000000000014
53.5,Control,1,Sniff,9.72
53.5,Control,1,Turn,155.75999999999996
54.3,Control,1,Climb,22.28
54.3,Control,1,Freeze,78.6
54.3,Control,1,Groom,0.8
54.3,Control,1,Jump,2.4800000000000004
54.3,Control,1,Locomotion,34.64000000000001
54.3,Control,1,Sniff,12.600000000000001
54.3,Control,1,Turn,176.12
54.4,Control,1,Climb,7.36
54.4,Control,1,Freeze,145.07999999999998
54.4,Control,1,Jump,0.9200000000000002
54.4,Control,1,Locomotion,9.84
54.4,Control,1,Sniff,4.2
54.4,Control,1,Turn,210.92
54.6,Control,1,Climb,16.36
54.6,Control,1,Freeze,112.24000000000001
54.6,Control,1,Jump,1.64
54.6,Control,1,Locomotion,26.400000000000002
54.6,Control,1,Sniff,4.92
54.6,Control,1,Turn,223.64000000000001
55.3,ELS,1,Climb,24.84
55.3,ELS,1,Freeze,59.99999999999999
55.3,ELS,1,Groom,0.16
55.3,ELS,1,Jump,4.88
55.3,ELS,1,Locomotion,47.56
55.3,ELS,1,Sniff,4.84
55.3,ELS,1,Turn,171.12
55.5,ELS,1,Climb,16.080000000000002
55.5,ELS,1,Freeze,27.640000000000004
