Animal,Condition,Time Bin,Syllable,Experiment,Percentage
11.6,Control,330.0,20,1,3.8666666666666667
11.6,Control,330.0,22,1,6.533333333333332
11.6,Control,330.0,35,1,1.7333333333333332
11.6,Control,330.0,40,1,13.466666666666665
11.6,Control,330.0,51,1,1.6
11.6,Control,360.0,0,1,39.733333333333334
11.6,Control,360.0,1,1,1.3333333333333335
11.6,Control,360.0,3,1,11.066666666666666
11.6,Control,360.0,4,1,15.333333333333332
11.6,Control,360.0,5,1,4.266666666666667
11.6,Control,360.0,8,1,0.26666666666666666
11.6,Control,360.0,9,1,0.8
11.6,Control,360.0,12,1,0.9333333333333335
11.6,Control,360.0,13,1,5.466666666666667
11.6,Control,360.0,19,1,0.6666666666666667
11.6,Control,360.0,20,1,2.2666666666666666
11.6,Control,360.0,22,1,1.7333333333333332
11.6,Control,360.0,23,1,0.4
11.6,Control,360.0,28,1,8.666666666666668
11.6,Control,360.0,32,1,4.133333333333333
11.6,Control,360.0,35,1,2.933333333333333
11.6,Control,390.0,0,1,59.333333333333336
11.6,Control,390.0,1,1,5.2
11.6,Control,390.0,3,1,19.2
11.6,Control,390.0,4,1,4.8
11.6,Control,390.0,5,1,1.4666666666666666
11.6,Control,390.0,19,1,0.5333333333333333
11.6,Control,390.0,21,1,1.7333333333333332
11.6,Control,390.0,22,1,0.9333333333333335
11.6,Control,390.0,28,1,6.533333333333332
11.6,Control,390.0,30,1,0.26666666666666666
11.6,Control,420.0,0,1,61.06666666666667
11.6,Control,420.0,1,1,19.333333333333332
11.6,Control,420.0,3,1,5.2
11.6,Control,420.0,4,1,4.8
11.6,Control,420.0,5,1,0.6666666666666667
11.6,Control,420.0,8,1,0.26666666666666666
11.6,Control,420.0,10,1,0.26666666666666666
11.6,Control,420.0,11,1,0.5333333333333333
11.6,Control,420.0,17,1,0.6666666666666667
11.6,Control,420.0,22,1,0.8
11.6,Control,420.0,32,1,2.4
11.6,Control,420.0,40,1,4.0
123.1,ELS,0.0,0,3,7.6
123.1,ELS,0.0,1,3,58.666666666666664
123.1,ELS,0.0,4,3,1.2
123.1,ELS,0.0,5,3,1.4666666666666666
123.1,ELS,0.0,13,3,20.533333333333335
123.1,ELS,0.0,18,3,2.2666666666666666
123.1,ELS,0.0,26,3,8.266666666666666
123.1,ELS,30.0,0,3,10.533333333333333
123.1,ELS,30.0,1,3,47.06666666666667
123.1,ELS,30.0,3,3,12.933333333333334
123.1,ELS,30.0,4,3,8.933333333333334
123.1,ELS,30.0,5,3,0.9333333333333335
123.1,ELS,30.0,9,3,0.5333333333333333
123.1,ELS,30.0,13,3,15.066666666666666
123.1,ELS,30.0,18,3,3.733333333333334
123.1,ELS,30.0,24,3,0.26666666666666666
123.1,ELS,60.0,1,3,16.266666666666666
123.1,ELS,60.0,4,3,2.533333333333333
123.1,ELS,60.0,5,3,1.4666666666666666
123.1,ELS,60.0,6,3,17.2
123.1,ELS,60.0,12,3,0.4
123.1,ELS,60.0,15,3,0.5333333333333333
123.1,ELS,60.0,18,3,48.13333333333333
123.1,ELS,60.0,19,3,0.13333333333333333
123.1,ELS,60.0,22,3,3.4666666666666663
123.1,ELS,60.0,111,3,9.866666666666667
123.1,ELS,90.0,0,3,2.4
123.1,ELS,90.0,1,3,29.46666666666667
123.1,ELS,90.0,3,3,11.333333333333332
123.1,ELS,90.0,5,3,2.8000000000000003
123.1,ELS,90.0,6,3,21.46666666666667
123.1,ELS,90.0,12,3,2.1333333333333333
123.1,ELS,90.0,13,3,4.0
123.1,ELS,90.0,18,3,26.400000000000002
123.1,ELS,120.0,0,3,0.8
123.1,ELS,120.0,1,3,15.2
123.1,ELS,120.0,3,3,14.266666666666666
123.1,ELS,120.0,4,3,14.666666666666666
123.1,ELS,120.0,6,3,14.933333333333335
123.1,ELS,120.0,13,3,30.4
123.1,ELS,120.0,17,3,0.8
123.1,ELS,120.0,32,3,1.4666666666666666
123.1,ELS,120.0,111,3,7.466666666666668
123.1,ELS,150.0,0,3,12.4
123.1,ELS,150.0,1,3,23.866666666666667
123.1,ELS,150.0,3,3,7.466666666666668
123.1,ELS,150.0,4,3,13.066666666666665
123.1,ELS,150.0,6,3,27.866666666666667
123.1,ELS,150.0,13,3,8.933333333333334
123.1,ELS,150.0,41,3,0.6666666666666667
123.1,ELS,150.0,111,3,5.733333333333333
123.1,ELS,180.0,0,3,19.066666666666666
123.1,ELS,180.0,1,3,20.8
123.1,ELS,180.0,3,3,5.2
123.1,ELS,180.0,4,3,1.3333333333333335
123.1,ELS,180.0,5,3,5.733333333333333
123.1,ELS,180.0,6,3,18.0
123.1,ELS,180.0,8,3,0.8
123.1,ELS,180.0,9,3,1.866666666666667
123.1,ELS,180.0,17,3,2.933333333333333
123.1,ELS,180.0,18,3,22.53333333333333
123.1,ELS,180.0,27,3,0.8
123.1,ELS,180.0,35,3,0.9333333333333335
123.1,ELS,210.0,0,3,20.4
123.1,ELS,210.0,1,3,4.666666666666667
123.1,ELS,210.0,6,3,15.333333333333332
123.1,ELS,210.0,13,3,2.0
123.1,ELS,210.0,26,3,53.86666666666666
123.1,ELS,210.0,27,3,3.733333333333334
123.1,ELS,240.0,0,3,50.66666666666667
123.1,ELS,240.0,1,3,4.933333333333334
123.1,ELS,240.0,3,3,29.06666666666667
123.1,ELS,240.0,6,3,6.666666666666667
123.1,ELS,240.0,7,3,0.6666666666666667
123.1,ELS,240.0,26,3,8.0
123.1,ELS,270.0,0,3,23.733333333333334
123.1,ELS,270.0,1,3,39.2
123.1,ELS,270.0,3,3,6.0
123.1,ELS,270.0,5,3,1.6
123.1,ELS,270.0,6,3,10.533333333333333
123.1,ELS,270.0,9,3,1.4666666666666666
123.1,ELS,270.0,17,3,0.5333333333333333
123.1,ELS,270.0,31,3,0.6666666666666667
123.1,ELS,270.0,34,3,1.2
123.1,ELS,270.0,35,3,3.2
123.1,ELS,270.0,111,3,11.866666666666667
123.1,ELS,300.0,0,3,46.400000000000006
123.1,ELS,300.0,1,3,35.86666666666667
123.1,ELS,300.0,3,3,3.733333333333334
123.1,ELS,300.0,5,3,0.6666666666666667
123.1,ELS,300.0,6,3,1.6
123.1,ELS,300.0,11,3,0.4
123.1,ELS,300.0,26,3,11.333333333333332
123.1,ELS,330.0,0,3,43.6
123.1,ELS,330.0,1,3,30.4
123.1,ELS,330.0,3,3,9.066666666666666
123.1,ELS,330.0,6,3,8.0
123.1,ELS,330.0,13,3,4.8
123.1,ELS,330.0,26,3,4.133333333333333
123.1,ELS,360.0,0,3,35.333333333333336
123.1,ELS,360.0,1,3,11.600000000000001
123.1,ELS,360.0,3,3,8.4
123.1,ELS,360.0,4,3,1.7333333333333332
123.1,ELS,360.0,6,3,2.1333333333333333
123.1,ELS,360.0,9,3,0.13333333333333333
123.1,ELS,360.0,13,3,18.4
123.1,ELS,360.0,17,3,0.4
123.1,ELS,360.0,21,3,6.266666666666667
123.1,ELS,360.0,26,3,15.6
123.1,ELS,390.0,0,3,45.33333333333333
123.1,ELS,390.0,1,3,9.6
123.1,ELS,390.0,3,3,9.6
123.1,ELS,390.0,4,3,0.6666666666666667
123.1,ELS,390.0,6,3,11.200000000000001
123.1,ELS,390.0,13,3,8.933333333333334
123.1,ELS,390.0,21,3,1.0666666666666667
123.1,ELS,390.0,26,3,13.600000000000001
123.1,ELS,420.0,0,3,59.73333333333334
123.1,ELS,420.0,1,3,9.333333333333334
123.1,ELS,420.0,6,3,8.0
123.1,ELS,420.0,13,3,22.933333333333334
123.3,ELS,0.0,1,3,2.4
123.3,ELS,0.0,2,3,17.066666666666666
123.3,ELS,0.0,3,3,19.2
123.3,ELS,0.0,4,3,0.6666666666666667
123.3,ELS,0.0,5,3,31.2
123.3,ELS,0.0,7,3,9.733333333333333
123.3,ELS,0.0,9,3,1.0666666666666667
123.3,ELS,0.0,12,3,3.5999999999999996
123.3,ELS,0.0,14,3,0.8
123.3,ELS,0.0,15,3,0.6666666666666667
123.3,ELS,0.0,19,3,0.9333333333333335
123.3,ELS,0.0,22,3,4.933333333333334
123.3,ELS,0.0,27,3,7.466666666666668
123.3,ELS,0.0,33,3,0.26666666666666666
123.3,ELS,30.0,1,3,6.666666666666667
123.3,ELS,30.0,2,3,10.266666666666667
123.3,ELS,30.0,3,3,9.733333333333333
123.3,ELS,30.0,4,3,0.4
123.3,ELS,30.0,5,3,13.733333333333334
123.3,ELS,30.0,6,3,8.266666666666666
123.3,ELS,30.0,7,3,7.066666666666667
123.3,ELS,30.0,10,3,1.2
123.3,ELS,30.0,12,3,4.3999999999999995
123.3,ELS,30.0,15,3,0.6666666666666667
123.3,ELS,30.0,27,3,29.06666666666667
123.3,ELS,30.0,33,3,0.6666666666666667
123.3,ELS,30.0,37,3,7.866666666666666
123.3,ELS,60.0,1,3,3.2
123.3,ELS,60.0,2,3,26.0
123.3,ELS,60.0,3,3,22.53333333333333
123.3,ELS,60.0,4,3,1.7333333333333332
123.3,ELS,60.0,5,3,16.933333333333334
123.3,ELS,60.0,6,3,4.3999999999999995
123.3,ELS,60.0,7,3,3.733333333333334
123.3,ELS,60.0,11,3,0.9333333333333335
123.3,ELS,60.0,12,3,1.3333333333333335
123.3,ELS,60.0,14,3,1.866666666666667
123.3,ELS,60.0,15,3,0.8
123.3,ELS,60.0,24,3,0.26666666666666666
123.3,ELS,60.0,27,3,16.266666666666666
123.3,ELS,90.0,1,3,2.1333333333333333
123.3,ELS,90.0,2,3,25.733333333333334
123.3,ELS,90.0,3,3,21.866666666666667
123.3,ELS,90.0,4,3,15.733333333333333
123.3,ELS,90.0,5,3,6.4
123.3,ELS,90.0,6,3,8.933333333333334
123.3,ELS,90.0,7,3,5.2
123.3,ELS,90.0,12,3,0.6666666666666667
123.3,ELS,90.0,14,3,2.666666666666667
123.3,ELS,90.0,15,3,0.5333333333333333
123.3,ELS,90.0,17,3,1.0666666666666667
123.3,ELS,90.0,19,3,0.26666666666666666
123.3,ELS,90.0,21,3,2.8000000000000003
123.3,ELS,90.0,22,3,2.0
123.3,ELS,90.0,33,3,0.26666666666666666
123.3,ELS,90.0,111,3,3.733333333333334
123.3,ELS,120.0,1,3,18.8
123.3,ELS,120.0,2,3,10.4
123.3,ELS,120.0,3,3,17.733333333333334
123.3,ELS,120.0,4,3,11.866666666666667
