animal_id,group,experiment,bin,time_s,pct_s0s28
49.5,ELS,1,7,240,5.733333333333333
49.5,ELS,1,8,270,2.8000000000000003
49.5,ELS,1,9,300,4.0
49.5,ELS,1,10,330,8.933333333333334
49.5,ELS,1,11,360,8.8
49.5,ELS,1,12,390,19.066666666666663
49.5,ELS,1,13,420,24.533333333333335
49.5,ELS,1,14,450,24.266666666666666
49.6,ELS,1,0,30,0.5333333333333333
49.6,ELS,1,1,60,9.6
49.6,ELS,1,2,90,11.866666666666667
49.6,ELS,1,3,120,14.666666666666668
49.6,ELS,1,4,150,16.133333333333333
49.6,ELS,1,5,180,7.466666666666668
49.6,ELS,1,6,210,25.333333333333336
49.6,ELS,1,7,240,53.733333333333334
49.6,ELS,1,8,270,20.8
49.6,ELS,1,9,300,47.2
49.6,ELS,1,10,330,68.4
49.6,ELS,1,11,360,73.06666666666666
49.6,ELS,1,12,390,71.86666666666666
49.6,ELS,1,13,420,68.13333333333333
49.6,ELS,1,14,450,80.53333333333333
50.5,Control,1,0,30,0.0
50.5,Control,1,1,60,0.0
50.5,Control,1,2,90,0.0
50.5,Control,1,3,120,17.2
50.5,Control,1,4,150,15.333333333333332
50.5,Control,1,5,180,27.6
50.5,Control,1,6,210,15.866666666666667
50.5,Control,1,7,240,36.266666666666666
50.5,Control,1,8,270,17.733333333333334
50.5,Control,1,9,300,33.733333333333334
50.5,Control,1,10,330,46.93333333333334
50.5,Control,1,11,360,74.66666666666667
50.5,Control,1,12,390,69.86666666666666
50.5,Control,1,13,420,62.4
50.5,Control,1,14,450,48.66666666666667
53.5,Control,1,0,30,9.2
53.5,Control,1,1,60,0.0
53.5,Control,1,2,90,4.533333333333333
53.5,Control,1,3,120,4.933333333333334
53.5,Control,1,4,150,4.533333333333333
53.5,Control,1,5,180,4.933333333333334
53.5,Control,1,6,210,8.133333333333333
53.5,Control,1,7,240,36.93333333333334
53.5,Control,1,8,270,6.533333333333332
53.5,Control,1,9,300,15.733333333333333
53.5,Control,1,10,330,47.866666666666674
53.5,Control,1,11,360,58.4
53.5,Control,1,12,390,56.13333333333334
53.5,Control,1,13,420,68.26666666666667
53.5,Control,1,14,450,72.53333333333333
54.3,Control,1,0,30,0.0
54.3,Control,1,1,60,2.666666666666667
54.3,Control,1,2,90,1.6
54.3,Control,1,3,120,1.866666666666667
54.3,Control,1,4,150,5.333333333333334
54.3,Control,1,5,180,0.0
54.3,Control,1,6,210,4.266666666666667
54.3,Control,1,7,240,31.066666666666666
54.3,Control,1,8,270,18.53333333333333
54.3,Control,1,9,300,46.13333333333333
54.3,Control,1,10,330,20.0
54.3,Control,1,11,360,36.66666666666666
54.3,Control,1,12,390,7.466666666666668
54.3,Control,1,13,420,39.46666666666667
54.3,Control,1,14,450,46.93333333333333
54.4,Control,1,0,30,6.266666666666667
54.4,Control,1,1,60,5.733333333333333
54.4,Control,1,2,90,10.533333333333331
54.4,Control,1,3,120,9.6
54.4,Control,1,4,150,3.7333333333333334
54.4,Control,1,5,180,43.333333333333336
54.4,Control,1,6,210,21.066666666666663
54.4,Control,1,7,240,48.8
54.4,Control,1,8,270,62.66666666666667
54.4,Control,1,9,300,41.333333333333336
54.4,Control,1,10,330,50.4
54.4,Control,1,11,360,22.8
54.4,Control,1,12,390,45.2
54.4,Control,1,13,420,37.73333333333333
54.4,Control,1,14,450,74.4
54.6,Control,1,0,30,0.0
54.6,Control,1,1,60,9.733333333333333
54.6,Control,1,2,90,14.133333333333333
54.6,Control,1,3,120,4.4
54.6,Control,1,4,150,3.2
