behavior,rank,parameter,parameter_label,mean_absolute_shap,mean_shap,sd_shap,sem_shap,minimum_shap,maximum_shap,n_frames,plotted_top_10
Jump,96,dist_H1R_H2L_roll_mean,Mean distance Right head 1 - Left head 2,0.025513745844364166,-0.005598220508545637,0.03100637160241604,0.000603689402422376,-0.19654123485088348,0.12650682032108307,2638,False
Jump,97,dist_B2L_H1L_roll_std,SD distance Left body 2 - Left head 1,0.025423508137464523,-0.016546599566936493,0.028188802301883698,0.0005488317509327879,-0.19720086455345154,0.05044350400567055,2638,False
Jump,98,dist_B1L_B2L_roll_mean,Mean distance Left body 1 - Left body 2,0.02498217485845089,-0.00982979778200388,0.03357156366109848,0.0006536333068837405,-0.3300853371620178,0.08613862842321396,2638,False
Jump,99,dist_B2R_tail_roll_mean,Mean distance Right body 2 - Tail,0.024973131716251373,-0.0025107315741479397,0.039709825068712234,0.0007731443354100817,-0.3223244249820709,0.16212570667266846,2638,False
Jump,100,dist_H1R_H2R_roll_mean,Mean distance Right head 1 - Right head 2,0.02476232871413231,-0.006956746801733971,0.034493885934352875,0.0006715907831444716,-0.15166470408439636,0.24669060111045837,2638,False
Jump,101,S2_y_t-3,Center body y (lag 3),0.024724194779992104,-0.0018235563766211271,0.050884611904621124,0.0009907157582669764,-0.3583022356033325,0.06555086374282837,2638,False
Jump,102,dist_B1L_B2R_roll_std,SD distance Left body 1 - Right body 2,0.024627607315778732,-0.01671934314072132,0.026409761980175972,0.0005141941028239276,-0.15455207228660583,0.1436222791671753,2638,False
Jump,103,S2_y_t-1,Center body y (lag 1),0.024190569296479225,-0.0042886873707175255,0.05104503408074379,0.0009938391539638545,-0.33190080523490906,0.0602603554725647,2638,False
Jump,104,dist_B1L_H2L_roll_mean,Mean distance Left body 1 - Left head 2,0.02418052777647972,-0.006074358709156513,0.048652470111846924,0.0009472562925068206,-0.28488555550575256,0.095411017537117,2638,False
Jump,105,dist_B1L_H2L_roll_std,SD distance Left body 1 - Left head 2,0.024066034704446793,-0.014768186956644058,0.033050939440727234,0.0006434968314356412,-0.23234088718891144,0.12264613807201385,2638,False
Jump,106,dist_B2R_B3R,Distance Right body 2 - Right body 3,0.02404349111020565,-0.002724191639572382,0.030506473034620285,0.0005939564523199235,-0.120500847697258,0.08825170993804932,2638,False
Jump,107,dist_H1R_H2L,Distance Right head 1 - Left head 2,0.023945225402712822,-0.009102866984903812,0.030930211767554283,0.0006022065818658199,-0.1363627314567566,0.1841116100549698,2638,False
Jump,108,dist_B1R_H1L_roll_mean,Mean distance Right body 1 - Left head 1,0.023918500170111656,-0.003317443886771798,0.03518230468034744,0.000684994192827965,-0.17963451147079468,0.26954588294029236,2638,False
Jump,109,dist_B2L_H2L_roll_std,SD distance Left body 2 - Left head 2,0.02387304976582527,-0.01402373518794775,0.032512862235307693,0.0006330205489875681,-0.2520924508571625,0.19754794239997864,2638,False
Jump,110,dist_B1R_H1R_roll_mean,Mean distance Right body 1 - Right head 1,0.023843510076403618,-0.003224800108000636,0.03395244851708412,0.0006610490778759126,-0.1544552892446518,0.10753501951694489,2638,False
Jump,111,S2_y_roll_std,SD center body y,0.02363612689077854,0.016078965738415718,0.02773207798600197,0.0005399393970365673,-0.08662817627191544,0.1596793234348297,2638,False
Jump,112,global_body_angular_velocity_roll_std,SD global body angular velocity,0.02362317219376564,-0.01099439524114132,0.03222816064953804,0.0006274774518336723,-0.1415538638830185,0.3290764391422272,2638,False
Jump,113,S1_y,Center body y,0.02334640733897686,-0.004246796481311321,0.031315386295318604,0.0006097058721238341,-0.16372542083263397,0.10745952278375626,2638,False
Jump,114,S2_y_t-4,Center body y (lag 4),0.023144392296671867,-0.0018831529887393117,0.042182452976703644,0.0008212860297472518,-0.28280964493751526,0.05524975806474686,2638,False
Jump,115,S1_velocity_roll_std,SD center body velocity,0.022884201258420944,0.013077291660010815,0.026560775935649872,0.0005171343218765295,-0.07470668107271194,0.24549907445907593,2638,False
Jump,116,dist_H2R_S1,Distance Right head 2 - Center body,0.02273094654083252,-0.0019942757207900286,0.030266543850302696,0.0005892850671039543,-0.049291517585515976,0.21101516485214233,2638,False
Jump,117,dist_B1R_tail_roll_std,SD distance Right body 1 - Tail,0.02255384996533394,-0.013128036633133888,0.027604352682828903,0.0005374526045496723,-0.17638738453388214,0.20497772097587585,2638,False
Jump,118,H1L_x_roll_std,SD left head 1 x,0.02233797311782837,0.01382420677691698,0.03236938640475273,0.0006302270960960008,-0.06364424526691437,0.21969154477119446,2638,False
Jump,119,dist_B1L_H1R_roll_std,SD distance Left body 1 - Right head 1,0.022269153967499733,-0.015285863541066647,0.026261594146490097,0.0005113092973354623,-0.20031993091106415,0.2167738676071167,2638,False
Jump,120,S1_x_roll_mean,Mean center body x,0.02216413803398609,-0.003469384741038084,0.03440137580037117,0.0006697896247175024,-0.24672465026378632,0.1548202484846115,2638,False
Jump,121,dist_B1L_B3R_roll_std,SD distance Left body 1 - Right body 3,0.02200452797114849,0.0004262598813511431,0.0287399310618639,0.0005595621451896996,-0.10892098397016525,0.11200438439846039,2638,False
Jump,122,dist_H1R_S1_roll_std,SD distance Right head 1 - Center body,0.021496478468179703,-0.008480994030833244,0.03262588009238243,0.0006352209897058619,-0.36765170097351074,0.16910402476787567,2638,False
Jump,123,tail_velocity_roll_mean,Mean tail velocity,0.021396758034825325,-0.015246397815644741,0.023111075162887573,0.0004499691654774296,-0.09481330960988998,0.24586036801338196,2638,False
Jump,124,dist_S1_S2_roll_std,SD distance Center body - Center body,0.021390032023191452,-0.0143769895657897,0.026747308671474457,0.0005207660862527707,-0.2408106029033661,0.11444371938705444,2638,False
Jump,125,B3L_velocity_roll_std,SD left body 3 velocity,0.021191196516156197,-0.01579313538968563,0.026180772110819817,0.000509735704428753,-0.11618368327617645,0.2297074794769287,2638,False
Jump,126,dist_B1R_B2R_roll_sum,Summed distance Right body 1 - Right body 2,0.021175039932131767,-0.005722555797547102,0.038775183260440826,0.0007549469996511834,-0.2604728937149048,0.042891863733530045,2638,False
Jump,127,dist_H1R_S1_roll_mean,Mean distance Right head 1 - Center body,0.020706497132778168,-0.0032280869781970978,0.03243299573659897,0.0006314655602421167,-0.14655545353889465,0.18450134992599487,2638,False
Jump,128,dist_B1R_H1R_roll_std,SD distance Right body 1 - Right head 1,0.020457236096262932,-0.008035625331103802,0.02895837090909481,0.0005638151362371845,-0.11460506170988083,0.30737361311912537,2638,False
Jump,129,nose_x_roll_std,SD nose x,0.020204249769449234,0.01104528084397316,0.027437977492809296,0.0005342133045655032,-0.05098501592874527,0.17981640994548798,2638,False
Jump,130,dist_B3L_S2_roll_sum,Summed distance Left body 3 - Center body,0.02014334313571453,-0.0049550775438547134,0.023739740252494812,0.00046220918043742677,-0.07505568116903305,0.10350141674280167,2638,False
Jump,131,dist_B1L_H1L_roll_std,SD distance Left body 1 - Left head 1,0.019933084025979042,-0.006169252097606659,0.02982647716999054,0.0005807170348727033,-0.15440215170383453,0.2626926302909851,2638,False
Jump,132,dist_B3L_S1_roll_std,SD distance Left body 3 - Center body,0.019824132323265076,-0.01002713292837143,0.027665365487337112,0.0005386405146981401,-0.21028386056423187,0.3365863263607025,2638,False
Jump,133,dist_B1L_S1,Distance Left body 1 - Center body,0.019804595038294792,-0.004344617482274771,0.06397350132465363,0.0012455544712151332,-0.21483664214611053,1.0324959754943848,2638,False
Jump,134,S2_y_t-5,Center body y (lag 5),0.01976572908461094,-0.00534110888838768,0.04289901629090309,0.000835237409950447,-0.3099951148033142,0.07563851773738861,2638,False
Jump,135,centroid_velocity_roll_std,SD centroid velocity,0.019660616293549538,-0.005277957301586866,0.028942203149199486,0.0005635003523780838,-0.11746746301651001,0.2788563072681427,2638,False
Jump,136,tail_y_t-4,Tail y (lag 4),0.01948661357164383,-0.00031108237453736365,0.029743829742074013,0.0005791079018528699,-0.06301473081111908,0.2168978601694107,2638,False
Jump,137,B1L_y_roll_std,SD left body 1 y,0.01931043155491352,-0.014349150471389294,0.022044440731406212,0.0004292019531508529,-0.15357398986816406,0.044917479157447815,2638,False
Jump,138,dist_B1R_B2R_roll_std,SD distance Right body 1 - Right body 2,0.018859384581446648,0.0027335600461810827,0.03110029548406601,0.0006055180863043058,-0.30904829502105713,0.20836761593818665,2638,False
Jump,139,dist_H1R_H2L_roll_std,SD distance Right head 1 - Left head 2,0.018848204985260963,-0.009192811325192451,0.022744949907064438,0.0004428407616856623,-0.07719630748033524,0.15693353116512299,2638,False
Jump,140,dist_B2L_S2_roll_std,SD distance Left body 2 - Center body,0.018635714426636696,-0.004135560244321823,0.027398275211453438,0.0005334403071050504,-0.18660014867782593,0.1965964436531067,2638,False
Jump,141,S2_x_roll_std,SD center body x,0.01861416921019554,0.008373934775590897,0.02385931834578514,0.00046453734797043865,-0.08049584925174713,0.14708545804023743,2638,False
Jump,142,dist_B3R_nose_roll_std,SD distance Right body 3 - Nose,0.018430275842547417,0.00464370334520936,0.02420310117304325,0.00047123074803064925,-0.13588681817054749,0.11529076844453812,2638,False
Jump,143,dist_B2L_S1,Distance Left body 2 - Center body,0.018391281366348267,-0.002337084151804447,0.040790408849716187,0.0007941831394786867,-0.08719884604215622,0.30351030826568604,2638,False
Jump,144,dist_B2L_B3L_roll_mean,Mean distance Left body 2 - Left body 3,0.01836337149143219,0.0012655628379434347,0.030968276783823967,0.0006029477020207256,-0.16834625601768494,0.18644395470619202,2638,False
Jump,145,S1_y_t-5,Center body y (lag 5),0.018204743042588234,-0.0025319617707282305,0.03061133623123169,0.0005959981230226479,-0.21055001020431519,0.08416255563497543,2638,False
Jump,146,dist_B1L_nose_roll_mean,Mean distance Left body 1 - Nose,0.01809714548289776,-0.001854912145063281,0.025868551805615425,0.0005036568219367982,-0.21862997114658356,0.15495426952838898,2638,False
Jump,147,dist_B1R_S1_roll_mean,Mean distance Right body 1 - Center body,0.01791517809033394,5.543290535570122e-05,0.02754712663590908,0.0005363384220032266,-0.2071496844291687,0.08511648327112198,2638,False
Jump,148,dist_H1L_H1R,Distance Left head 1 - Right head 1,0.017820613458752632,0.0010872252751141787,0.025653177872300148,0.0004994635237731936,-0.09235735237598419,0.16854223608970642,2638,False
Jump,149,S2_velocity_roll_std,SD center body velocity,0.017704233527183533,0.01296340674161911,0.02120688185095787,0.0004128948074288421,-0.07709842920303345,0.16410498321056366,2638,False
Jump,150,dist_B3L_nose,Distance Left body 3 - Nose,0.017432937398552895,-0.0013537728227674961,0.02289002574980259,0.0004456653665743457,-0.13855594396591187,0.09841178357601166,2638,False
Jump,151,angular_velocity_t-3,Angular velocity (lag 3),0.017330234870314598,0.010042485781013966,0.02243989147245884,0.00043690131973958795,-0.2256174385547638,0.06665775924921036,2638,False
